,sentence,category,sentiment
13195,"This service was great! I chose the tyres I wanted online (which allowed me to read reviews and take my time), paid for them and chose a service professional to install them. I chose a date and time for them to come to me (using a mobile service) and they showed up as promised. They were professional, courteous, and very quick. I can't recommend this highly enough. It was much easier than going to the local garage - and it was a whole lot cheaper for the same tyres! (I know because I'd just had one done at the garage a few weeks prior.)",length of fitting,positive
13196,"This service was great! I chose the tyres I wanted online (which allowed me to read reviews and take my time), paid for them and chose a service professional to install them. I chose a date and time for them to come to me (using a mobile service) and they showed up as promised. They were professional, courteous, and very quick. I can't recommend this highly enough. It was much easier than going to the local garage - and it was a whole lot cheaper for the same tyres! (I know because I'd just had one done at the garage a few weeks prior.)",value for money,positive
13197,Everything done on time and for a good price. Very happy with [REDACTED] and the service garage.,wait time,positive
13198,Everything done on time and for a good price. Very happy with [REDACTED] and the service garage.,value for money,positive
13199,Shopped around and found [REDACTED] to be best price. Able to book fitting online with local garage. Would use again.,value for money,positive
13200,Shopped around and found [REDACTED] to be best price. Able to book fitting online with local garage. Would use again.,ease of booking,positive
13201,Shopped around and found [REDACTED] to be best price. Able to book fitting online with local garage. Would use again.,location,positive
13202,Tyres are cheaper than anywhere else and you can choose were to have them fitted,value for money,positive
13203,Tyres are cheaper than anywhere else and you can choose were to have them fitted,location,positive
13204,Outstanding service. From start to finish this was by far the best service I have used for my car. It was easy and cheap and will definitely return again. I have already told friends and family about [REDACTED] and look forward to using again in the future,value for money,positive
13205,Very competitive pricing and excellent local service,value for money,positive
13206,From placing the order to having tyres fitted was best service you could have. Kept informed at all times and on arrival at ATS for the appointed time was not kept waiting. Would certainly use again and recommend thoroughly,advisor/agent service,positive
13207,From placing the order to having tyres fitted was best service you could have. Kept informed at all times and on arrival at ATS for the appointed time was not kept waiting. Would certainly use again and recommend thoroughly,wait time,positive
13208,Exceptional service from ordering through to fitting. Top class!,ease of booking,positive
13209,Exceptional service from ordering through to fitting. Top class!,garage service,positive
13210,Booked tyres of my choice for fitting at my local ATS. Received several texts from ATS to remind me to attend at the appointed time. On the day the tyres were ready and fitted without any problems. Good choice of tyres when I booked and prices were competitive with other on-line offers. Have used [REDACTED] several times without any complaints and have always been satisfied with the service.,wait time,positive
13211,Booked tyres of my choice for fitting at my local ATS. Received several texts from ATS to remind me to attend at the appointed time. On the day the tyres were ready and fitted without any problems. Good choice of tyres when I booked and prices were competitive with other on-line offers. Have used [REDACTED] several times without any complaints and have always been satisfied with the service.,location,positive
13212,Booked tyres of my choice for fitting at my local ATS. Received several texts from ATS to remind me to attend at the appointed time. On the day the tyres were ready and fitted without any problems. Good choice of tyres when I booked and prices were competitive with other on-line offers. Have used [REDACTED] several times without any complaints and have always been satisfied with the service.,value for money,positive
13213,"Easy online ordering, book a time for fitting, simple, first class service, will certainly use next time.",ease of booking,positive
13214,An excellent job done yet again. Keen prices and an exellent range plus a selection of fititng centers and quick availability makes for a happy customer!,value for money,positive
13215,Cheap and smooth. Thats how i like it,value for money,positive
13216,Vastly cheaper than the main tyre outlets and really efficient and easy to use. Highly recommend and communication is excellent.,advisor/agent service,positive
13217,Vastly cheaper than the main tyre outlets and really efficient and easy to use. Highly recommend and communication is excellent.,value for money,positive
13218,"Fast efficient service. One change to the date and time I had originally submitted, but otherwise great tyres and excellent garage fitting. Stratford Tyres has good waiting area and the car was seen to as soon as I arrived.",length of fitting,positive
13219,"Fast efficient service. One change to the date and time I had originally submitted, but otherwise great tyres and excellent garage fitting. Stratford Tyres has good waiting area and the car was seen to as soon as I arrived.",garage service,positive
13220,Only thing that stopped me from giving 10 was the fact that when booking is wasn't clear that there wasn't a fixed time for the am or pm fitting appointment but that's being fussy. I got there at 8:30 and was all done by 9:30. Very good service.,ease of booking,negative
13221,Only thing that stopped me from giving 10 was the fact that when booking is wasn't clear that there wasn't a fixed time for the am or pm fitting appointment but that's being fussy. I got there at 8:30 and was all done by 9:30. Very good service.,length of fitting,positive
13222,"Such an easy, hassle free way to get new tyres. [REDACTED] book an appointment for you at your chosen fitting centre and deliver your choice of tyres ready for you. Just turn up for your appointment and that's it. So easy, [REDACTED] also very good at communicating with you too, they were unable to deliver my tyres on the day originally booked and liaised with me to arrange the best day for me and they rebooked my appointment. I will be using them for all future tyre needs, highly recommended.",location,positive
13223,"Such an easy, hassle free way to get new tyres. [REDACTED] book an appointment for you at your chosen fitting centre and deliver your choice of tyres ready for you. Just turn up for your appointment and that's it. So easy, [REDACTED] also very good at communicating with you too, they were unable to deliver my tyres on the day originally booked and liaised with me to arrange the best day for me and they rebooked my appointment. I will be using them for all future tyre needs, highly recommended.",change of date,negative
13224,"Such an easy, hassle free way to get new tyres. [REDACTED] book an appointment for you at your chosen fitting centre and deliver your choice of tyres ready for you. Just turn up for your appointment and that's it. So easy, [REDACTED] also very good at communicating with you too, they were unable to deliver my tyres on the day originally booked and liaised with me to arrange the best day for me and they rebooked my appointment. I will be using them for all future tyre needs, highly recommended.",delivery punctuality,negative
13225,"Such an easy, hassle free way to get new tyres. [REDACTED] book an appointment for you at your chosen fitting centre and deliver your choice of tyres ready for you. Just turn up for your appointment and that's it. So easy, [REDACTED] also very good at communicating with you too, they were unable to deliver my tyres on the day originally booked and liaised with me to arrange the best day for me and they rebooked my appointment. I will be using them for all future tyre needs, highly recommended.",advisor/agent service,positive
13226,"Easy booking service and good options close to my location this very convenient, the third time I've used this device and was very pleased again.",ease of booking,positive
13227,"Easy booking service and good options close to my location this very convenient, the third time I've used this device and was very pleased again.",location,positive
13228,Top class tyres at a good price.,value for money,positive
13229,Top class tyres at a good price.,tyre quality,positive
13230,"Very easy to use, provides all the relevant information in one place. Excellent customer services, provided compensation for delayed delivery of tyres. Would highly recommend.",delivery punctuality,negative
13231,"Very easy to use, provides all the relevant information in one place. Excellent customer services, provided compensation for delayed delivery of tyres. Would highly recommend.",advisor/agent service,positive
13232,The garage had problems on the day our tyres were due to be fitted. The staff did not have a key to open up and we had to wait an hour for someone to turn up with one .Once inside they said the tyres were not there and to come back another day also their fitting machine had broken. A message to [REDACTED] was immediately acted upon confirming that the tyres were there and arranging another date. Eventually our tyres were fitted and they seem fine and [REDACTED] refunded some money for the inconvenience.So all in all I think [REDACTED] did a good job.,refund,positive
13233,The garage had problems on the day our tyres were due to be fitted. The staff did not have a key to open up and we had to wait an hour for someone to turn up with one .Once inside they said the tyres were not there and to come back another day also their fitting machine had broken. A message to [REDACTED] was immediately acted upon confirming that the tyres were there and arranging another date. Eventually our tyres were fitted and they seem fine and [REDACTED] refunded some money for the inconvenience.So all in all I think [REDACTED] did a good job.,response time,positive
13234,The garage had problems on the day our tyres were due to be fitted. The staff did not have a key to open up and we had to wait an hour for someone to turn up with one .Once inside they said the tyres were not there and to come back another day also their fitting machine had broken. A message to [REDACTED] was immediately acted upon confirming that the tyres were there and arranging another date. Eventually our tyres were fitted and they seem fine and [REDACTED] refunded some money for the inconvenience.So all in all I think [REDACTED] did a good job.,change of date,negative
13235,The garage had problems on the day our tyres were due to be fitted. The staff did not have a key to open up and we had to wait an hour for someone to turn up with one .Once inside they said the tyres were not there and to come back another day also their fitting machine had broken. A message to [REDACTED] was immediately acted upon confirming that the tyres were there and arranging another date. Eventually our tyres were fitted and they seem fine and [REDACTED] refunded some money for the inconvenience.So all in all I think [REDACTED] did a good job.,wait time,negative
13236,First time I have used [REDACTED]. Highly recommend them. Tyres arrived at my local garage and had them fitted promptly,location,positive
13237,First time I have used [REDACTED]. Highly recommend them. Tyres arrived at my local garage and had them fitted promptly,length of fitting,positive
13238,"Great service, mobile fitting of two rear tyres completed in a very short time at a very reasonable price",mobile fitter,positive
13239,"Great service, mobile fitting of two rear tyres completed in a very short time at a very reasonable price",length of fitting,positive
13240,Fantastic deliver service well pleased with the tryes.EnamSutton Surrey,delivery punctuality,positive
13241,Fantastic deliver service well pleased with the tryes.EnamSutton Surrey,tyre quality,positive
13242,"I ordered the tyres online at the weekend and after choosing the tyres and the fitter I was given the option of time on the following Thursday.I could either have the morning or the afternoon on a first-come first-served basis. I chose a morning slot and turned up at about 10.30.On arrival I was told the tyres were not there yet so left the car with fitters and walked nearly 3 miles home ( I need the exercise anyway)I later got a phone call to say the car was ready tyres had been fitted and returned to get the car.The tyres are fine, a [REDACTED] recommendation.that the tyres weren't actually at the fitters four days after ordering was disappointing hence the three stars rather than five. I should at least have been notified that the tyres would not be there in the morning and I would have rearranged a different day for the fitting.",delivery punctuality,negative
13243,"I ordered the tyres online at the weekend and after choosing the tyres and the fitter I was given the option of time on the following Thursday.I could either have the morning or the afternoon on a first-come first-served basis. I chose a morning slot and turned up at about 10.30.On arrival I was told the tyres were not there yet so left the car with fitters and walked nearly 3 miles home ( I need the exercise anyway)I later got a phone call to say the car was ready tyres had been fitted and returned to get the car.The tyres are fine, a [REDACTED] recommendation.that the tyres weren't actually at the fitters four days after ordering was disappointing hence the three stars rather than five. I should at least have been notified that the tyres would not be there in the morning and I would have rearranged a different day for the fitting.",late notice,negative
13244,"I ordered the tyres online at the weekend and after choosing the tyres and the fitter I was given the option of time on the following Thursday.I could either have the morning or the afternoon on a first-come first-served basis. I chose a morning slot and turned up at about 10.30.On arrival I was told the tyres were not there yet so left the car with fitters and walked nearly 3 miles home ( I need the exercise anyway)I later got a phone call to say the car was ready tyres had been fitted and returned to get the car.The tyres are fine, a [REDACTED] recommendation.that the tyres weren't actually at the fitters four days after ordering was disappointing hence the three stars rather than five. I should at least have been notified that the tyres would not be there in the morning and I would have rearranged a different day for the fitting.",ease of booking,negative
13245,"Everything was ready when I went for the fitting, very good service",wait time,positive
13246,Great service great price 👍,value for money,positive
13247,"I ordered the tyres from [REDACTED] as they were cheaper than Kwik fit, who I've used in the past. An appointment was offered at a time and day to suit me with a local tyre fitting company. I arrived at the depot the tyres were fitted and I was out and on my way within 30 minutes",ease of booking,positive
13248,"I ordered the tyres from [REDACTED] as they were cheaper than Kwik fit, who I've used in the past. An appointment was offered at a time and day to suit me with a local tyre fitting company. I arrived at the depot the tyres were fitted and I was out and on my way within 30 minutes",value for money,positive
13249,"I ordered the tyres from [REDACTED] as they were cheaper than Kwik fit, who I've used in the past. An appointment was offered at a time and day to suit me with a local tyre fitting company. I arrived at the depot the tyres were fitted and I was out and on my way within 30 minutes",length of fitting,positive
13250,Great service delivery and fitted to car as ordered on- line.,delivery punctuality,positive
13251,"ordered another pair of the tyres at a good price for them to be delivered to a local garage to fit them, sorted :)",value for money,positive
13252,"ordered another pair of the tyres at a good price for them to be delivered to a local garage to fit them, sorted :)",location,positive
13253,"Booked tyres and timeslot through [REDACTED] but when I turned up was turned away as my car hadn't been booked in, I lost a couple of hours pay as left work early to get my tyres fitted, wasn't happy! Had to go back another day.",change of date,negative
13254,"Booked tyres and timeslot through [REDACTED] but when I turned up was turned away as my car hadn't been booked in, I lost a couple of hours pay as left work early to get my tyres fitted, wasn't happy! Had to go back another day.",booking confusion,negative
13255,"Very good service, although not too keen on being called ""love"" all the time and having my back patted.The tyres were as ordered, and all four were replaced in one hour.What a pity Swan Garage has to endure that ghastly car park.Price wise - excellent.",length of fitting,positive
13256,"Very good service, although not too keen on being called ""love"" all the time and having my back patted.The tyres were as ordered, and all four were replaced in one hour.What a pity Swan Garage has to endure that ghastly car park.Price wise - excellent.",value for money,positive
13257,"Very good service, although not too keen on being called ""love"" all the time and having my back patted.The tyres were as ordered, and all four were replaced in one hour.What a pity Swan Garage has to endure that ghastly car park.Price wise - excellent.",facilities,negative
13258,"Value for money, fantastic choice of products",value for money,positive
13259,"Reliable cost effective way to buy tyres. I've used [REDACTED] several times and never been let down. Simple, cost effective way of buying tyres. The website is easy to use - simply eneter details of your vehocle, select the tyres and garage you wish to use, pay and that's it. You'' get an email confirming your order, and your appointment. Simple and reliable.",value for money,positive
13260,"Reliable cost effective way to buy tyres. I've used [REDACTED] several times and never been let down. Simple, cost effective way of buying tyres. The website is easy to use - simply eneter details of your vehocle, select the tyres and garage you wish to use, pay and that's it. You'' get an email confirming your order, and your appointment. Simple and reliable.",ease of booking,positive
13261,"Easy, cheap and discounted",value for money,positive
13262,"An excellent easy to use website with different search options leading to a focussed selection. The garage they partner with near me were extremely professional, friendly and efficient. An obviously well thought out customer journey and when i had a question was able to talk with a British based team. Brilliant",location,positive
13263,"An excellent easy to use website with different search options leading to a focussed selection. The garage they partner with near me were extremely professional, friendly and efficient. An obviously well thought out customer journey and when i had a question was able to talk with a British based team. Brilliant",advisor/agent service,positive
13264,"An excellent easy to use website with different search options leading to a focussed selection. The garage they partner with near me were extremely professional, friendly and efficient. An obviously well thought out customer journey and when i had a question was able to talk with a British based team. Brilliant",garage service,positive
13265,Easy To use. Fitting dates at local fitting center a bit long.,location,positive
13266,Easy To use. Fitting dates at local fitting center a bit long.,length of fitting,negative
13267,Used twice so far. Swift delivery and v competitive pricing. Works well with ATS Taunton. Happy to recommend.,delivery punctuality,positive
13268,Used twice so far. Swift delivery and v competitive pricing. Works well with ATS Taunton. Happy to recommend.,value for money,positive
13269,Used twice so far. Swift delivery and v competitive pricing. Works well with ATS Taunton. Happy to recommend.,garage service,positive
13270,"Great experience - received the tyre and it was fitted exactly as expected, good price too.",value for money,positive
13271,Good service - good price,value for money,positive
13272,Great service and excellent price.,value for money,positive
13273,[REDACTED] is the best way to buy new tyres for your car. The range and value can’t be beaten and the also choosing which garage you want to have them fitted at us a brilliant idea. There is no sales pressure when you turn up which makes a change. Will be using them again in the future.,value for money,positive
13274,[REDACTED] is the best way to buy new tyres for your car. The range and value can’t be beaten and the also choosing which garage you want to have them fitted at us a brilliant idea. There is no sales pressure when you turn up which makes a change. Will be using them again in the future.,garage service,positive
13275,[REDACTED] is the best way to buy new tyres for your car. The range and value can’t be beaten and the also choosing which garage you want to have them fitted at us a brilliant idea. There is no sales pressure when you turn up which makes a change. Will be using them again in the future.,location,positive
13276,"Very easy to use, works well. Will definitely use again in the future.excellent",ease of booking,positive
13277,"Quality tyres and a great price, fitting was done by the appointed garage at the arranged time. I would use this service again!",tyre quality,positive
13278,"Quality tyres and a great price, fitting was done by the appointed garage at the arranged time. I would use this service again!",value for money,positive
13279,"Quality tyres and a great price, fitting was done by the appointed garage at the arranged time. I would use this service again!",wait time,positive
13280,The customer service and fitting at the garage was excellent. I would recommend [REDACTED] website to my friends and family,garage service,positive
13281,The customer service and fitting at the garage was excellent. I would recommend [REDACTED] website to my friends and family,advisor/agent service,positive
13282,Choosing tyres on the website was straightforward and easy and a decent price was a bonus,garage service,positive
13283,Choosing tyres on the website was straightforward and easy and a decent price was a bonus,value for money,positive
13284,Ordered 2 Bridgestone tyres to be fitted by local garage. Choice of fitting days and times. No problems with service from start to finish. Excellent service and happy with choice of tyre and price.,ease of booking,positive
13285,Ordered 2 Bridgestone tyres to be fitted by local garage. Choice of fitting days and times. No problems with service from start to finish. Excellent service and happy with choice of tyre and price.,location,positive
13286,Ordered 2 Bridgestone tyres to be fitted by local garage. Choice of fitting days and times. No problems with service from start to finish. Excellent service and happy with choice of tyre and price.,value for money,positive
13287,"Garage service wonderful! Price competitive but review is only 3 stars mainly because the 2 4x4 tyres that I had fitted were actually manufactured four years ago, so the cheaper price was all down to the tyres being old stock! Although the tyre is classed as usable and can be sold and fitted up to 5 years from manufacture, if I had known beforehand the age of the tyres supplied I would have shopped elsewhere, disappointed.",value for money,positive
13288,"Garage service wonderful! Price competitive but review is only 3 stars mainly because the 2 4x4 tyres that I had fitted were actually manufactured four years ago, so the cheaper price was all down to the tyres being old stock! Although the tyre is classed as usable and can be sold and fitted up to 5 years from manufacture, if I had known beforehand the age of the tyres supplied I would have shopped elsewhere, disappointed.",tyre age/dot code,negative
13289,Awesome Price! Awesome Service! Definitely would recommend to everyone! Happy days 🙂,value for money,positive
13290,Code for discount on purchasing four tyres is confusing.,discounts,negative
13291,"Great company to deal with good price for quality product, always do what they promise",value for money,positive
13292,"Excellent service, x4 tyres was replaced within a short space of time. And through [REDACTED] was certainly a lot cheaper..",length of fitting,positive
13293,"Excellent service, x4 tyres was replaced within a short space of time. And through [REDACTED] was certainly a lot cheaper..",value for money,positive
13294,All completed on time and very efficiently.,delivery punctuality,positive
13295,All completed on time and very efficiently.,length of fitting,positive
13296,All completed on time and very efficiently.,wait time,positive
13297,Fantastic and incredibly efficient in addition to saving over forty quid,value for money,positive
13298,"Booked the tyres to be fitted by a mobile tyre fitter at my home as I wanted to keep the tyres already on the car. The first appointment was missed as the tyres hadn't arrived in stock in time. This was very frustrating as I wanted the new tyres for a road trip I was taking to Scotland. We arranged to have the tyres fitted the following Saturday AM. At 11 o'clock that morning I received a call from the tyre fitters saying they hadn't received tyres from [REDACTED] (not true) and could they fit them tomorrow morning instead (Sunday). I said yes. The next day the tyre fitters didn't show up and I received no call whatsoever. I called them at around 4:45pm. They said they had broken down on the motorway and were going to call me that evening? I spoke to [REDACTED] who were deeply apologetic and arranged for the tyres to be fitted the following Saturday. I asked them not to use the same mobile tyre fitter as I didn't trust them but they did. The following Saturday arrived and once again, no one showed. I called [REDACTED] who called the tyre fitters. Once again the tyre fitters said they wouldn't be able to get to me and asked if they could come on Sunday again instead. Obviously I told them where to go. In the end we agreed that a local fitter to me would fit the tyres this Saturday. I went there and all appeared well. However when I collected the car some of the lacquer from two front wheels had been scuffed off! The tyre fitters came up with the reasons why but didn't actually apologise or accept blame. They said they will have a look at it this Friday. It's fair to say I have now given in. To be fair, throughout this whole situation, [REDACTED] customer service has actually been very good, especially from their call centre staff, and they have compensated me at each missed appointment. The problem is that there is a big issue with the tyre fitters they use/in general and I would not recommend whatsoever, having your tyres mobile fitted in the Leeds/Bradford area as this is the only mobile tyre fitter [REDACTED] use.",mobile fitter,negative
13299,"Booked the tyres to be fitted by a mobile tyre fitter at my home as I wanted to keep the tyres already on the car. The first appointment was missed as the tyres hadn't arrived in stock in time. This was very frustrating as I wanted the new tyres for a road trip I was taking to Scotland. We arranged to have the tyres fitted the following Saturday AM. At 11 o'clock that morning I received a call from the tyre fitters saying they hadn't received tyres from [REDACTED] (not true) and could they fit them tomorrow morning instead (Sunday). I said yes. The next day the tyre fitters didn't show up and I received no call whatsoever. I called them at around 4:45pm. They said they had broken down on the motorway and were going to call me that evening? I spoke to [REDACTED] who were deeply apologetic and arranged for the tyres to be fitted the following Saturday. I asked them not to use the same mobile tyre fitter as I didn't trust them but they did. The following Saturday arrived and once again, no one showed. I called [REDACTED] who called the tyre fitters. Once again the tyre fitters said they wouldn't be able to get to me and asked if they could come on Sunday again instead. Obviously I told them where to go. In the end we agreed that a local fitter to me would fit the tyres this Saturday. I went there and all appeared well. However when I collected the car some of the lacquer from two front wheels had been scuffed off! The tyre fitters came up with the reasons why but didn't actually apologise or accept blame. They said they will have a look at it this Friday. It's fair to say I have now given in. To be fair, throughout this whole situation, [REDACTED] customer service has actually been very good, especially from their call centre staff, and they have compensated me at each missed appointment. The problem is that there is a big issue with the tyre fitters they use/in general and I would not recommend whatsoever, having your tyres mobile fitted in the Leeds/Bradford area as this is the only mobile tyre fitter [REDACTED] use.",delivery punctuality,negative
13300,"Booked the tyres to be fitted by a mobile tyre fitter at my home as I wanted to keep the tyres already on the car. The first appointment was missed as the tyres hadn't arrived in stock in time. This was very frustrating as I wanted the new tyres for a road trip I was taking to Scotland. We arranged to have the tyres fitted the following Saturday AM. At 11 o'clock that morning I received a call from the tyre fitters saying they hadn't received tyres from [REDACTED] (not true) and could they fit them tomorrow morning instead (Sunday). I said yes. The next day the tyre fitters didn't show up and I received no call whatsoever. I called them at around 4:45pm. They said they had broken down on the motorway and were going to call me that evening? I spoke to [REDACTED] who were deeply apologetic and arranged for the tyres to be fitted the following Saturday. I asked them not to use the same mobile tyre fitter as I didn't trust them but they did. The following Saturday arrived and once again, no one showed. I called [REDACTED] who called the tyre fitters. Once again the tyre fitters said they wouldn't be able to get to me and asked if they could come on Sunday again instead. Obviously I told them where to go. In the end we agreed that a local fitter to me would fit the tyres this Saturday. I went there and all appeared well. However when I collected the car some of the lacquer from two front wheels had been scuffed off! The tyre fitters came up with the reasons why but didn't actually apologise or accept blame. They said they will have a look at it this Friday. It's fair to say I have now given in. To be fair, throughout this whole situation, [REDACTED] customer service has actually been very good, especially from their call centre staff, and they have compensated me at each missed appointment. The problem is that there is a big issue with the tyre fitters they use/in general and I would not recommend whatsoever, having your tyres mobile fitted in the Leeds/Bradford area as this is the only mobile tyre fitter [REDACTED] use.",no stock,negative
13301,"Booked the tyres to be fitted by a mobile tyre fitter at my home as I wanted to keep the tyres already on the car. The first appointment was missed as the tyres hadn't arrived in stock in time. This was very frustrating as I wanted the new tyres for a road trip I was taking to Scotland. We arranged to have the tyres fitted the following Saturday AM. At 11 o'clock that morning I received a call from the tyre fitters saying they hadn't received tyres from [REDACTED] (not true) and could they fit them tomorrow morning instead (Sunday). I said yes. The next day the tyre fitters didn't show up and I received no call whatsoever. I called them at around 4:45pm. They said they had broken down on the motorway and were going to call me that evening? I spoke to [REDACTED] who were deeply apologetic and arranged for the tyres to be fitted the following Saturday. I asked them not to use the same mobile tyre fitter as I didn't trust them but they did. The following Saturday arrived and once again, no one showed. I called [REDACTED] who called the tyre fitters. Once again the tyre fitters said they wouldn't be able to get to me and asked if they could come on Sunday again instead. Obviously I told them where to go. In the end we agreed that a local fitter to me would fit the tyres this Saturday. I went there and all appeared well. However when I collected the car some of the lacquer from two front wheels had been scuffed off! The tyre fitters came up with the reasons why but didn't actually apologise or accept blame. They said they will have a look at it this Friday. It's fair to say I have now given in. To be fair, throughout this whole situation, [REDACTED] customer service has actually been very good, especially from their call centre staff, and they have compensated me at each missed appointment. The problem is that there is a big issue with the tyre fitters they use/in general and I would not recommend whatsoever, having your tyres mobile fitted in the Leeds/Bradford area as this is the only mobile tyre fitter [REDACTED] use.",advisor/agent service,positive
13302,Would use again very quick and reasonably priced.,value for money,positive
13303,Great site for tyres. Easy to use and easy to order and book. Tyres actually arrived earlier than expected and fitted earlier,ease of booking,positive
13304,Great site for tyres. Easy to use and easy to order and book. Tyres actually arrived earlier than expected and fitted earlier,delivery punctuality,positive
13305,"Let down twice on availability, on offering alternative fitment options via e-mail had no response.Have used BC over many years and this is the first problem encountered.",change of date,negative
13306,"Quick, smooth transaction & professional garages. All at all inclusive best price. Been using them for last 4-5 years now. Always best",garage service,positive
13307,"Quick, smooth transaction & professional garages. All at all inclusive best price. Been using them for last 4-5 years now. Always best",delivery punctuality,positive
13308,"Excellent service , tyres delivered on time and fiited by fitting partner on time",delivery punctuality,positive
13309,"Excellent service , tyres delivered on time and fiited by fitting partner on time",length of fitting,positive
13310,Well priced great service,value for money,positive
13311,Excellent service very competitive prices and appointed garage pleasant and efficient with no extra charges. Makes a nice change.,value for money,positive
13312,Excellent service very competitive prices and appointed garage pleasant and efficient with no extra charges. Makes a nice change.,garage service,positive
13313,Excellent service very competitive prices and appointed garage pleasant and efficient with no extra charges. Makes a nice change.,extra charges,positive
13314,Excellent service very competitive prices and appointed garage pleasant and efficient with no extra charges. Makes a nice change.,length of fitting,positive
13315,"Easy to book, best price I could find for the quality of tyre and service from the fitting garage was good.",ease of booking,positive
13316,"Easy to book, best price I could find for the quality of tyre and service from the fitting garage was good.",value for money,positive
13317,"Easy to book, best price I could find for the quality of tyre and service from the fitting garage was good.",garage service,positive
13318,"I have used [REDACTED] on two separate occasions, firstly for new front tyres and more recently for new rear tyres. Such an easy process, tyres fitted no issues at all at convenient location. Would recommend for anyone to use.",value for money,positive
13319,"I have used [REDACTED] on two separate occasions, firstly for new front tyres and more recently for new rear tyres. Such an easy process, tyres fitted no issues at all at convenient location. Would recommend for anyone to use.",location,positive
13320,Excellent service fitting 4 very good value tyres in under 45 minutes.,length of fitting,positive
13321,Excellent service fitting 4 very good value tyres in under 45 minutes.,value for money,positive
13322,"Whole process very easy start to finish, and at a very good price. Tyres fitted by the Manager, Barney, at a time convenient to me. Third time I have used [REDACTED], will use them in the future.",value for money,positive
13323,"Whole process very easy start to finish, and at a very good price. Tyres fitted by the Manager, Barney, at a time convenient to me. Third time I have used [REDACTED], will use them in the future.",length of fitting,positive
13324,"Great service, good price with only one fault. 4 day wait have them fitted.",value for money,positive
13325,Easy to use website. Competitive prices. Good information on tyres. Ability to book nearby garage for fitting and suitable date and time. Friendly helpful customer services to resolve problems. Excellent communications.,location,positive
13326,Easy to use website. Competitive prices. Good information on tyres. Ability to book nearby garage for fitting and suitable date and time. Friendly helpful customer services to resolve problems. Excellent communications.,advisor/agent service,positive
13327,Easy to use website. Competitive prices. Good information on tyres. Ability to book nearby garage for fitting and suitable date and time. Friendly helpful customer services to resolve problems. Excellent communications.,value for money,positive
13328,Easy to use website. Competitive prices. Good information on tyres. Ability to book nearby garage for fitting and suitable date and time. Friendly helpful customer services to resolve problems. Excellent communications.,ease of booking,positive
13329,Only site I will use to buy my tyres. Easy to navigte around the website and I can choose a garage near my work place or home.,location,positive
13330,The job was completed in a decent time frame to a good standard despite being very busy.,length of fitting,positive
13331,"First class,quality work delivered on time by people who clearly knew what they were doing",delivery punctuality,positive
13332,"First class,quality work delivered on time by people who clearly knew what they were doing",garage service,positive
13333,"Tyre fitted at Jim Dickson Tyres in Cumbernauld Village. No issues at all, would recommend going here.",garage service,positive
13334,Best price. Top service. What's not to like!,value for money,positive
13335,"Best prices, quick delivery. Highly recommended",delivery punctuality,positive
13336,"Best prices, quick delivery. Highly recommended",value for money,positive
13337,"Simple as can be, great price, great communication and best of all got them fitted at my local trusted ATS Euromaster, Burton on Trent",value for money,positive
13338,"Simple as can be, great price, great communication and best of all got them fitted at my local trusted ATS Euromaster, Burton on Trent",location,positive
13339,"Simple as can be, great price, great communication and best of all got them fitted at my local trusted ATS Euromaster, Burton on Trent",garage service,positive
13340,"This was the first time I’d used [REDACTED] and I will definitely use them again!So easy to order and pay for my tyre and to choose the garage.I was kept informed by email throughout the process. The whole procedure was easy, simple and painless!Highly recommend.",advisor/agent service,positive
13341,"This was the first time I’d used [REDACTED] and I will definitely use them again!So easy to order and pay for my tyre and to choose the garage.I was kept informed by email throughout the process. The whole procedure was easy, simple and painless!Highly recommend.",ease of booking,positive
13342,Great service and value,value for money,positive
13343,Bought my tyre on line the service was good and they delivered to my choice tyre fitter on time.,delivery punctuality,positive
13344,The prices are excellent and they use good local fitting centers.,value for money,positive
13345,The prices are excellent and they use good local fitting centers.,location,positive
13346,The prices are excellent and they use good local fitting centers.,garage service,positive
13347,Always had good dealings fair prices and service good,value for money,positive
13348,Excellent service and cheaper than anywhere else!,value for money,positive
13349,"Arrived on time and fitted four new tyres at a competitive cost on my driveway at home,saving my time taking the vehicle to a garage and waiting for possibly an hour or more for tyres to be fitted. Cannot fault the price or the service.",mobile fitter,positive
13350,"Arrived on time and fitted four new tyres at a competitive cost on my driveway at home,saving my time taking the vehicle to a garage and waiting for possibly an hour or more for tyres to be fitted. Cannot fault the price or the service.",delivery punctuality,positive
13351,"Arrived on time and fitted four new tyres at a competitive cost on my driveway at home,saving my time taking the vehicle to a garage and waiting for possibly an hour or more for tyres to be fitted. Cannot fault the price or the service.",value for money,positive
13352,"Great price and very friendly service, nice and local",value for money,positive
13353,Good prices simple system,value for money,positive
13354,My original chosen time/date couldn’t be honoured because only ONE of my TWO tyres were delivered.My second time/date couldn’t be honoured because they did not have the 2nd tire in stock.So I was offered another tyre make and a new fitting date. On the plus side they did kept me updated after the initial appointment.,change of date,negative
13355,My original chosen time/date couldn’t be honoured because only ONE of my TWO tyres were delivered.My second time/date couldn’t be honoured because they did not have the 2nd tire in stock.So I was offered another tyre make and a new fitting date. On the plus side they did kept me updated after the initial appointment.,delivery punctuality,negative
13356,"quick, easy and good price able to use a tyre garage that I had used before",value for money,positive
